id BF.047 BF.047.b BF.052 BF.052.b BF.143 BF.143.b BF.174 BF.174.b BF.185 BF.185.b BF.190 BF.190.b BF.212 BF.212.b BF.225 BF.225.b BF.230 BF.230.b BF.231 BF.231.b
28 38 38 30 45 51 59 46 58 47 65 49 57 64 46 71 67 81 84 52 52
29 34 34 48 54 51 51 42 42 62 68 45 71 64 40 67 67 84 60 52 70
30 30 34 45 45 51 51 50 42 62 59 57 57 64 64 67 71 78 93 68 52
31 38 30 30 30 51 51 54 58 56 59 57 63 64 61 67 67 84 78 68 68
32 38 34 30 30 51 51 48 48 65 59 57 57 64 46 71 67 72 66 66 52
33 32 34 30 30 51 53 58 58 65 47 45 45 61 46 67 67 93 78 56 56
34 30 34 30 48 51 53 48 46 62 59 57 49 58 64 67 67 90 66 52 68
35 38 30 57 48 51 79 42 58 56 47 57 49 46 64 67 63 42 72 68 52
36 38 38 45 30 51 51 42 58 62 65 57 51 64 46 69 69 66 69 68 52
37 38 38 36 33 51 51 36 46 38 65 49 57 46 40 71 71 84 42 52 68
38 38 38 54 30 51 51 46 36 38 65 49 59 64 46 67 71 66 90 66 68
39 38 38 45 45 51 53 62 58 56 62 57 59 46 64 71 67 42 66 68 68
40 34 34 30 45 61 51 42 58 50 56 57 57 67 61 67 85 72 63 56 68
41 34 30 78 45 51 51 36 36 62 53 45 57 46 46 67 71 63 60 68 52
42 38 34 45 45 79 51 58 36 62 68 59 57 46 46 67 65 42 90 52 52
43 34 38 45 63 51 77 36 42 62 65 59 57 64 46 67 63 42 66 56 52
44 38 32 51 45 77 77 48 36 62 62 49 63 64 64 67 65 93 60 68 68
45 34 34 48 48 51 51 54 46 47 59 49 49 61 64 65 71 63 66 68 52
46 30 38 30 45 79 51 46 42 65 59 57 57 64 46 67 73 66 78 68 52
47 34 30 51 30 55 51 42 46 59 62 57 45 73 64 67 67 60 66 68 52
48 30 34 48 48 51 51 42 42 59 53 59 57 64 40 67 67 60 87 52 68
49 34 38 45 42 51 51 42 46 56 59 49 49 46 46 63 67 66 90 68 68
50 30 30 78 42 51 61 58 36 59 47 49 49 46 46 67 65 84 60 52 68
51 34 38 54 27 51 51 46 48 50 59 57 57 67 85 71 67 66 81 68 52
52 32 38 45 45 51 51 46 36 56 62 49 57 55 61 67 69 72 42 52 68
53 38 36 48 45 51 51 54 62 47 65 49 57 64 61 67 63 60 66 68 68
54 30 34 51 45 51 51 42 62 47 59 57 49 67 61 65 67 42 72 68 52
55 30 34 30 30 51 51 36 46 59 56 57 49 64 49 71 71 84 66 68 68
56 34 34 27 45 51 61 42 46 65 50 57 73 61 64 69 71 93 90 52 68
57 30 30 45 48 47 77 58 42 62 68 57 57 67 61 67 67 48 81 68 52
58 30 30 54 48 51 51 36 58 59 59 63 57 64 64 69 67 42 66 68 74
59 38 34 30 48 51 51 42 62 62 65 59 57 64 64 71 67 42 87 56 68
60 30 38 39 42 79 51 36 58 59 62 49 57 64 64 71 67 84 81 56 74
61 30 38 45 45 51 51 36 46 65 47 57 57 85 64 67 67 69 66 52 70
62 30 32 30 48 51 51 58 46 59 65 57 49 64 85 59 67 42 69 68 68
63 34 38 30 30 47 51 62 58 47 59 59 49 46 46 71 71 60 66 68 56
64 38 38 48 30 51 51 58 46 59 56 57 49 61 46 67 67 93 69 52 52
65 34 34 48 45 51 51 42 36 59 56 57 59 85 64 67 67 66 72 52 56
66 34 38 48 30 51 51 58 60 59 65 59 49 64 73 71 63 66 69 68 52
67 34 38 45 48 51 67 42 46 56 50 59 57 64 64 67 67 84 69 68 68
68 34 34 48 51 51 51 48 46 62 59 57 57 64 85 61 67 93 66 52 72
69 38 38 51 48 77 55 58 62 62 50 57 49 85 85 71 67 75 66 72 68
70 38 34 45 45 51 51 46 42 47 62 57 49 64 61 63 67 57 81 68 70
71 34 38 27 27 51 51 36 36 59 62 49 57 64 64 71 71 66 90 64 68
72 30 38 27 48 67 47 36 42 50 56 57 59 61 46 71 69 69 66 68 68
73 34 34 27 36 51 51 46 58 53 44 45 57 64 64 71 71 66 63 68 70
74 38 32 30 42 51 77 62 58 62 56 57 57 67 46 67 67 84 66 52 68
75 30 34 48 48 51 51 36 62 59 62 49 57 85 46 65 61 84 42 72 70
76 34 30 45 27 51 51 42 36 59 62 57 57 73 40 67 85 90 66 52 68
77 38 38 48 45 51 51 58 58 59 62 57 59 46 85 71 67 90 72 68 52
78 38 38 45 57 51 51 46 42 50 59 57 57 64 64 67 67 75 66 70 70
79 38 34 27 45 51 51 46 58 65 59 57 57 46 67 69 63 93 93 70 52
80 34 30 51 27 51 51 42 46 59 68 59 49 46 61 61 67 78 78 68 52
81 34 34 57 27 51 51 46 46 62 59 49 43 73 64 69 67 66 66 52 62
82 38 30 45 48 51 51 62 46 59 62 59 49 46 46 67 69 66 78 68 56
83 34 38 45 48 61 51 42 42 59 56 59 57 46 46 65 67 60 75 52 52
84 34 30 78 30 51 51 42 58 65 44 49 45 40 73 69 73 60 75 68 70
85 38 34 27 30 51 51 36 46 62 62 69 69 46 64 69 67 84 66 68 68
86 30 38 27 39 51 51 36 54 59 62 57 57 82 64 67 69 42 84 68 68
87 38 34 39 48 51 51 58 42 47 62 45 57 61 46 67 65 81 84 68 68
88 34 38 30 27 51 51 36 58 44 50 57 49 61 55 67 67 69 78 52 68
89 38 34 30 30 47 53 46 58 59 47 57 57 85 64 67 71 69 42 56 68
90 34 38 30 30 51 55 62 58 47 65 57 57 64 64 71 67 66 66 52 52
91 38 34 45 48 51 51 58 42 62 62 49 57 46 61 67 71 78 69 74 56
92 34 30 48 48 51 51 46 54 68 56 57 57 46 64 67 63 66 84 52 68
93 38 34 48 51 77 79 62 36 62 59 59 49 64 76 65 67 42 81 52 52
94 34 38 45 42 53 51 36 46 62 56 57 49 58 64 65 67 78 60 52 68
95 32 34 48 45 51 51 46 46 56 68 45 57 64 73 71 67 93 60 68 52
96 38 38 48 48 51 83 58 48 62 56 57 59 64 76 63 71 81 66 52 70
97 34 30 30 30 51 51 36 48 47 65 45 49 58 82 67 67 87 87 68 52
98 38 38 27 30 51 51 46 46 47 68 49 57 58 64 67 67 66 42 52 68
99 38 38 30 117 51 51 42 48 56 62 57 59 61 64 67 71 42 72 68 56
100 34 30 51 30 51 51 58 46 56 47 49 57 46 64 65 67 81 48 56 68
101 30 34 51 51 79 51 42 46 59 68 49 45 64 64 65 69 87 48 68 68
102 38 34 45 45 51 51 42 46 68 50 59 57 46 64 67 65 75 48 52 56
103 34 34 48 48 51 51 46 36 56 62 59 49 64 61 77 71 75 90 52 56
104 34 38 48 30 51 51 54 42 59 47 57 57 64 55 73 71 66 42 68 70
105 34 30 30 48 51 51 36 36 47 50 57 69 64 58 71 67 81 66 66 52
106 34 38 48 45 53 51 36 58 47 65 49 49 64 46 71 71 66 60 52 52
107 34 30 48 48 51 51 42 46 47 68 57 59 46 58 71 67 66 72 68 66
108 38 38 48 45 51 51 42 46 59 65 59 45 64 46 69 67 84 84 52 68
109 38 34 48 30 47 51 36 48 44 62 59 49 64 64 67 69 96 69 72 68
110 32 30 30 45 51 61 36 62 47 56 57 59 64 64 71 65 93 66 52 52
111 38 34 30 45 51 51 58 42 59 59 57 57 64 64 67 69 66 60 68 68
112 34 34 27 45 51 51 36 46 59 38 49 57 61 64 71 71 66 93 56 56
113 38 32 33 48 51 51 50 36 59 59 49 51 40 64 67 67 99 78 74 62
114 34 34 45 27 51 51 58 46 56 59 49 49 76 73 71 67 42 66 52 62
115 38 34 30 45 51 51 46 46 59 68 57 57 64 46 65 67 66 75 78 56
116 38 38 63 45 51 51 42 42 59 68 57 59 64 64 65 67 66 48 78 56
117 38 34 30 45 51 51 46 42 47 50 57 59 64 64 65 65 66 75 68 52
118 38 34 27 48 51 77 36 36 62 62 49 59 64 64 67 67 90 42 52 52
119 30 34 45 48 51 51 50 46 59 68 57 45 64 73 71 71 78 60 68 52
120 30 30 30 51 51 51 48 46 65 68 57 59 46 61 71 67 42 78 52 52
121 30 32 45 48 51 51 50 46 62 68 57 45 64 73 67 67 93 93 52 52
